term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,n_obs,n_authors,n_clusters,cond,meaningful
k+6:AUTHOR_MISCONDUCT,0.7870572140024075,0.29120684044352574,2.702742877892811,0.006876992134063897,0.216291806733097,1.357822621271718,6,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k-6:EDITORIAL_COMPROMISE,-1.7890104527615267,0.8053225223013868,-2.2214831986184054,0.026318251440941687,-3.3674425964722445,-0.21057830905080865,-6,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k-5:EDITORIAL_COMPROMISE,-1.7384950732059923,0.6994965529666791,-2.4853518803384387,0.012942343400420109,-3.1095083170206834,-0.36748182939130114,-5,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k-4:EDITORIAL_COMPROMISE,-1.2089008966349917,0.43983111921231977,-2.7485569888733106,0.005985822825885556,-2.0709698902911384,-0.3468319029788449,-4,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k-3:EDITORIAL_COMPROMISE,-0.7912847359610009,0.13317155184715435,-5.941845123718211,2.8183162470440948e-09,-1.0523009775814234,-0.5302684943405784,-3,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+0:EDITORIAL_COMPROMISE,0.883947777631172,0.2977357257741454,2.968900609199018,0.0029886724735472825,0.300385755113847,1.467509800148497,0,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+1:EDITORIAL_COMPROMISE,0.06342843591807823,0.25966387659327295,0.2442713123991058,0.8070206999895913,-0.4455127622047368,0.5723696340408932,1,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+2:EDITORIAL_COMPROMISE,0.20420179608161443,0.2267014242332383,0.9007521535088572,0.3677201122722842,-0.24013299541553262,0.6485365875787614,2,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+3:EDITORIAL_COMPROMISE,0.4417196120161522,0.2798977528028858,1.57814633234025,0.11453199617743759,-0.10687998347750405,0.9903192075098084,3,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+4:EDITORIAL_COMPROMISE,0.4477441589662112,0.39984417071731754,1.1197966401835031,0.262800431359695,-0.33595041563973116,1.2314387335721535,4,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+5:EDITORIAL_COMPROMISE,0.44038606928678425,0.4670922864561779,0.9428245382255971,0.3457706583132474,-0.47511481216732443,1.355886950740893,5,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k+6:EDITORIAL_COMPROMISE,0.6497263379877126,0.5807774156899606,1.1187183255324091,0.26326032470112626,-0.4885973967646101,1.7880500727400355,6,EDITORIAL_COMPROMISE,publications,475189,36553,3207,22.904726331845644,
k-6:HONEST_ERROR,-0.7589292856588151,0.5620944343382945,-1.3501811071163465,0.17695789685242058,-1.8606343769618725,0.34277580564424215,-6,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k-5:HONEST_ERROR,-1.2042241490865573,0.1464406188295956,-8.223293227733778,2.220446049250313e-16,-1.4912477619925646,-0.91720053618055,-5,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k-4:HONEST_ERROR,-0.9042598420730672,0.12546229248072538,-7.207423236045106,5.702105454474804e-13,-1.1501659353352889,-0.6583537488108455,-4,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k-3:HONEST_ERROR,-0.338538026504478,0.11826472588179424,-2.862544380670592,0.004202544002948727,-0.5703368892327947,-0.1067391637761613,-3,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+0:HONEST_ERROR,0.7967330218513247,0.12758275354003287,6.244833253276087,4.2425263302448e-10,0.5466708249128602,1.046795218789789,0,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+1:HONEST_ERROR,0.03890117878452931,0.1554215598208057,0.25029461053782165,0.8023595240237931,-0.2657250784642498,0.34352743603330843,1,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+2:HONEST_ERROR,0.29661807376884686,0.16505689823400235,1.7970655994536457,0.0723252061608215,-0.02689344676979777,0.6201295943074915,2,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+3:HONEST_ERROR,0.37853410401940524,0.1863128953187986,2.0317117791106103,0.042182842749288074,0.013360829194559998,0.7437073788442505,3,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+4:HONEST_ERROR,0.7031254963324951,0.4695931499566904,1.4973078214563882,0.1343131806555844,-0.21727707758261805,1.6235280702476083,4,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+5:HONEST_ERROR,0.5666135864549051,0.2943021352909738,1.9252785437479054,0.05419452043720474,-0.010218598715403537,1.1434457716252138,5,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k+6:HONEST_ERROR,0.8760289773593046,0.32730924816357876,2.6764565385011463,0.007440521522692034,0.23450285095869028,1.517555103759919,6,HONEST_ERROR,publications,475189,36553,3207,22.904726331845644,
k-6:AUTHOR_MISCONDUCT,-0.9088493148453699,0.23376705636390813,-3.887841721506527,0.00010113954103418976,-1.36703274531863,-0.45066588437210997,-6,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k-5:AUTHOR_MISCONDUCT,-0.7089953438996045,0.17357653625753983,-4.084626638981034,4.4147744201472605e-05,-1.0492053549643825,-0.36878533283482645,-5,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k-4:AUTHOR_MISCONDUCT,-0.5780844680375437,0.1382526270520851,-4.18136335174128,2.8976637628685964e-05,-0.8490596170596305,-0.30710931901545685,-4,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k-3:AUTHOR_MISCONDUCT,-0.36953193558979636,0.10896288932968476,-3.391355881466377,0.0006954772928282615,-0.5830991986759785,-0.15596467250361423,-3,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+0:AUTHOR_MISCONDUCT,0.33592877105419333,0.08930404265049528,3.76163005709496,0.00016880960466614248,0.16089284745922258,0.510964694649164,0,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
