term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,spec,n_obs,n_authors,n_clusters,cond,career_band,subject_group,lag_band,income_group,meaningful
k-4:AUTHOR_MISCONDUCT,-0.09060955518945628,0.014205923144617499,-6.378294058544689,1.790714243554703e-10,-0.11845316455290658,-0.06276594582600598,-4,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-3:AUTHOR_MISCONDUCT,-0.027182866556836747,0.012667140852858916,-2.1459354460956908,0.03187812933330236,-0.052010462628440224,-0.0023552704852332733,-3,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+0:AUTHOR_MISCONDUCT,0.10790774299835248,0.011697691518133563,9.224704107735764,0.0,0.0849802676228107,0.13083521837389428,0,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+1:AUTHOR_MISCONDUCT,-0.06836902800658973,0.012183963686868617,-5.611394597332484,2.00702521269136e-08,-0.09224959683285222,-0.04448845918032724,1,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+2:AUTHOR_MISCONDUCT,-0.07084019769357484,0.011614950915741475,-6.099052695742929,1.0669889416448086e-09,-0.09360550148842814,-0.04807489389872155,2,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+3:AUTHOR_MISCONDUCT,-0.07660626029654026,0.012975859066001332,-5.903752491984132,3.5532512487890244e-09,-0.10203894406590287,-0.05117357652717765,3,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+4:AUTHOR_MISCONDUCT,-0.08731466227347603,0.012278339787629707,-7.111275936624966,1.1497469643018121e-12,-0.11138020825723026,-0.06324911628972181,4,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+5:AUTHOR_MISCONDUCT,-0.09967051070840188,0.013364042007520564,-7.458111150227804,8.79296635503124e-14,-0.1258640330431422,-0.07347698837366158,5,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+6:AUTHOR_MISCONDUCT,-0.0881383855024711,0.01321791989376645,-6.668098022294494,2.5913937662380704e-11,-0.11404550849425335,-0.06223126251068886,6,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-6:EDITORIAL_COMPROMISE,-0.14371257485029926,0.024702466800231315,-5.817741847909438,5.964792659796103e-09,-0.19212940977875265,-0.09529573992184588,-6,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
