openalex_id,doi,pub_year,n_authors,source_id,retraction_date,retraction_year,category,rw_journal,rw_publisher
W2126294543,10.1007/s13277-015-3445-8,2015,7,S12644804,2017-04-20,2017.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer
W3190401894,10.1007/s12517-021-07951-1,2021,2,S38407038,2021-12-09,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W3182972264,10.1007/s12517-021-07749-1,2021,2,S38407038,2021-11-25,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W2582368668,10.1007/s40999-017-0244-1,2017,3,S141661966,2019-05-01,2019.0,AUTHOR_MISCONDUCT,International Journal of Civil Engineering,Springer
W2809607067,10.5625/lar.2018.34.2.49,2018,6,S2764970905,2020-06-11,2020.0,HONEST_ERROR,Laboratory Animal Research,Springer - Biomed Central (BMC)
W920256569,10.1007/s13277-015-3744-0,2015,4,S12644804,2021-12-21,2021.0,AUTHOR_MISCONDUCT,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),IOS Press (bought by Sage November 2023)
W3026805083,10.1007/s12652-020-02106-8,2020,2,S48031226,2022-07-04,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer
W2994156274,10.1007/s12652-019-01607-5,2019,2,S48031226,2022-06-02,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W2001666227,10.1371/journal.pone.0038770,2012,5,S202381698,2019-09-03,2019.0,AUTHOR_MISCONDUCT,PLoS One,PLoS
W1998256491,10.1007/s13277-014-2954-1,2014,6,S12644804,2017-04-20,2017.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer
W1869630386,10.1016/j.ijheatmasstransfer.2015.09.066,2015,2,S90999920,2016-05-01,2016.0,HONEST_ERROR,International Journal of Heat and Mass Transfer,Elsevier
W2413501810,10.1038/srep26948,2016,3,S196734849,2018-06-01,2018.0,ETHICS_VIOLATION,Scientific Reports,Springer - Nature Publishing Group
W3135641188,10.1093/jxb/erab107,2021,9,S32610980,2021-08-18,2021.0,HONEST_ERROR,Journal of Experimental Botany,Oxford University Press
W3187484660,10.1007/s12517-021-08018-x,2021,3,S38407038,2021-11-09,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
