treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5101919479,A5102945754,2017,HONEST_ERROR,first,senior (10-20y),higher,48,48,18,18,30,30,-0.19415601444095754,-0.19415601444095754,0.0
A5101444154,A5101657165,2017,HONEST_ERROR,first,senior (10-20y),lower,13,13,13,13,0,0,1.6739764335716716,1.6739764335716716,0.0
A5021178034,A5066136408,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5080266438,A5058195477,2017,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,4,4,2,2,2,2,0.10536051565782634,0.10536051565782634,0.0
A5002588085,A5034289506,2017,EDITORIAL_COMPROMISE,middle,early (<5y),higher,8,8,4,4,4,4,0.15415067982725827,0.15415067982725827,0.0
A5077074758,A5019712163,2017,AUTHOR_MISCONDUCT,middle,early (<5y),higher,16,16,15,15,1,1,1.5686159179138452,1.5686159179138452,0.0
A5009727140,A5070718876,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,22,22,12,12,10,10,0.3566749439387322,0.3566749439387322,0.0
A5046932122,A5112530568,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,15,15,4,4,11,11,-0.47445797959511593,-0.47445797959511593,0.0
A5043260756,A5110583713,2017,HONEST_ERROR,first,senior (10-20y),higher,32,32,11,11,21,21,-0.29213642280116137,-0.29213642280116137,0.0
A5103442632,A5000036465,2017,EDITORIAL_COMPROMISE,middle,early (<5y),higher,10,10,10,10,0,0,1.4663370687934272,1.4663370687934272,0.0
A5100443143,A5112041056,2017,UNCONFIRMED_CONCERNS,last,senior (10-20y),higher,12,12,6,6,6,6,0.18232155679395445,0.18232155679395445,0.0
A5025197285,A5017208361,2017,HONEST_ERROR,middle,veteran (20y+),higher,75,77,42,43,33,34,0.48342664957787607,0.4787373092144902,0.05333649416432262
A5016501019,A5103035862,2017,EDITORIAL_COMPROMISE,first,veteran (20y+),higher,61,61,32,32,29,29,0.3465225724747145,0.3465225724747145,0.0
A5100673889,A5090012895,2017,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,5,5,3,3,2,2,0.2876820724517809,0.2876820724517809,0.0
A5030799310,A5007032174,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,114,114,53,53,61,61,0.1386464932912932,0.1386464932912932,0.0
A5031462931,A5103594923,2017,HONEST_ERROR,middle,veteran (20y+),higher,14,14,2,2,12,12,-0.8754687373538999,-0.8754687373538999,0.0
A5101881411,A5077016299,2017,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,27,27,9,9,18,18,-0.3184537311185347,-0.3184537311185347,0.0
A5060901494,A5048634831,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,169,169,51,51,118,118,-0.5273549257172014,-0.5273549257172014,0.0
A5022942658,A5053253997,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),lower,17,17,11,11,6,6,0.6241543090729937,0.6241543090729937,0.0
A5069641362,A5102834224,2017,AUTHOR_MISCONDUCT,first,early (<5y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5032069558,A5067279461,2017,UNCONFIRMED_CONCERNS,last,senior (10-20y),higher,20,20,15,15,5,5,0.9808292530117262,0.9808292530117262,0.0
